Lista CATSER;;;;;;;
Fonte: DW-Siasg;;;;;;;
Extração realizada em 30/03/2023;;;;;;;
({Tipo Material Serviço} = Serviço) E ({Sit Atual Mat Serv} = Ativo);;;;;;;
;;;;;;;
Tipo Material Serviço;Grupo Serviço;;Classe Material;;Codigo Material Serviço;;Sit Atual Mat Serv
Serviço;'-9;NAO SE APLICA;'-7;INVALIDO;15377;INFRA-ESTRUTURA AEROPORTUARIA - OPERACAO INDUSTRIAL / COMER-CIAL DE AEROPORTO;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25852;DESENVOLVIMENTO DE NOVO SOFTWARE - JAVA;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25860;DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - PHP;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25879;DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - FRAMEWORK, .NET,BASIC, ASP, DELPHI, PASCAL E PERL.;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25887;DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - PYTHON;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25895;DESENVOLVIMENTO E/OU EVOLUCAO DE SOFTWATE - DISPOSITIVOS MOVEIS;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25909;DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - MAINFRAME;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1111;SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25917;DESENVOLVIMENTO E/OU EVOLUCAO DE SOFTWATE - OUTRAS LINGUAGENS;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25925;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - JAVA;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25933;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - PHP;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25941;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES)-FRAMEWORK.NET: C#,VISUAL BASIC,ASP,DELPHI, PASCAL;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25950;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - PYTHON;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25968;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - DISPOSITIVOS MOVEIS;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25976;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - MAINFRAME;Ativo
Serviço;111;SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE;1112;SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE;25984;MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - OUTRAS LINGUAGENS;Ativo
